1621481392938500098,,13211111111,,,,1
1621481847303258114,,13211112222,,,,1
1621512489642549250,,13211111222,,,,1
1621768367759212546,,13211112223,,,,1
1664126907978883073,,13911111111,,,,1
1664127849885343746,,13211116555,,,,1
1664134214057984002,,13211116666,,,,1
1668257775139991553,,13211113366,,,,1
1668258492093345793,,13211115555,,,,1
1670038852246466561,,132111166587,,,,1
1703029401928716289,,15386614968,,,,1
1703727429117231106,,15351234668,,,,1
1704057657679278082,,153866614968,,,,1
1704498776856551425,,17882462570,,,,1
1705480034438946817,,15389914587,,,,1
1705481608611573761,,15386654123,,,,1
1706126919283441666,,17882462579,,,,1
1706137537763803137,,17888888888,,,,1
1706142497142349825,,17884443333,,,,1
1706144176625557505,,17623438567,,,,1
1706166618958061569,,17587780645,,,,1
1706256327243661314,,17334782348,,,,1
1706677167361769474,,17892343579,,,,1
1706686131205963778,,17782452389,,,,1
1706850231588372482,,17662462790,,,,1
1706854957096812546,,17886573689,,,,1
1706855451399708674,,17664673589,,,,1
1706923620973846529,,17883452780,,,,1
1707204093441478658,,13219033635,,,,1
1710169750318833665,,17882462578,,,,1
1710176553047924737,,17885698540,,,,1
1710177103441231873,,17885468512,,,,1
1710178028226486273,,17885468250,,,,1
1710180312306024450,,17854622870,,,,1
1710184145870598146,,17854267820,,,,1
1710190294476988417,,17884598510,,,,1
1710895737679556610,,17882462580,,,,1
1710897605059264514,,178562502520,,,,1
1710898521858539521,,17882541530,,,,1
1710899021282734082,,17852462510,,,,1
1710899409176207362,,17882502430,,,,1
1710950509889835010,,153866149689,,,,1
1710962679632187394,,13216663333,,,,1
1710973804129181698,,17552561507,,,,1
1710981467223293953,,17552561509,,,,1
1710985542849470465,,17552561590,,,,1
1711237563812823042,,17552561508,,,,1
1880583989151727617,,13312341234,,,,1
1880594151631568898,,13211114444,,,,1
1880594409778397186,,13211114423,,,,1
1880606156178403330,,13255556666,,,,1
1894337113147006978,,13190799987,,,,1
1894356491150188546,,13130136036,,,,1
